S.No,Quantity,Designator,Description (VALUE),Manufacturing Part No
1,5,"C1, C2, C3, C7, C9",10uF,CL21A106KPFNNNE
2,3,"C4, C8, C10",220uF,UWT1H221MNL1GS
3,2,"C5, C6",100nF,0805B104K500NT
4,3,"D1, D2, D3",LED,SZYY1206R
5,1,J1,CR2032,MY-2032-08
6,1,J2,power_connector,RE-H022TD-1190(LF)(SN)
7,1,J6,ZS05,DHT11
8,2,"Q1, Q2",CJ3401,CJ3401
9,3,"R1, R6, R11",1Meg,0805W8F1004T5E
10,3,"R2, R3, R4",1k,RC0805FR-071KL
11,2,"R5, R10",22R,RC0805FR-0722RL
12,2,"R7, R12",2R,FRC0805J2R0TS
13,2,"R8, R9",4k7,RS-05K472JT
14,1,R13,100k,0805W8F1003T5E
15,1,SW1,rst_switch,TS-1187A-B-A-B
16,1,U1,HT7333,HT7333-A
17,1,U2,STM32G030C8T6,STM32G030C8T6
18,1,U4,RFM95W-868S2,DL-RFM95-868M
